lis,name,building,level,google_id,image_url,permission,hasTable,hasWifi,capacity,hasMicrowave,hasSocket,hasFood,noEating,hasCoffee,hasComputer
41,Level 3 - Library,Glasgow University Library,3,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://taylorandfraser.com/wp-content/uploads/2018/04/9-LibraryLearningCafe-7-870x475.jpg,Student and staff ID required,TRUE,TRUE,150,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
42,Level 4 - Library,Glasgow University Library,4,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/eaeeb2df-980b-5641-a4fd-df0fedf10664.jpg,Student and staff ID required,TRUE,TRUE,200,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
43,Level 5 - Library,Glasgow University Library,5,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://universityofglasgowlibrary.files.wordpress.com/2013/01/13-006-postgrad-study-area-leveel-5744.jpg,Student and staff ID required,TRUE,TRUE,180,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
44,Level 6 - Library,Glasgow University Library,6,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/6765c1d8-98e4-3c4e-abe3-4aae27babfa0.jpg,Student and staff ID required,TRUE,TRUE,180,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
45,Level 7 - Library,Glasgow University Library,7,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/69090cee-21e1-e74a-a2e3-e4150b59e6c7.jpg,Student and staff ID required,TRUE,TRUE,180,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
46,Level 8 - Library,Glasgow University Library,8,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/656e8e61-baa7-8c4e-bd4f-819fb2a9f2b8.jpg,Student and staff ID required,TRUE,TRUE,150,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
47,Level 9 - Library,Glasgow University Library,9,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/dc270339-cc3c-5d4f-9757-ab8cb83457c0.jpg,Student and staff ID required,TRUE,TRUE,150,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
48,Level 10 - Library,Glasgow University Library,10,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/f26314f9-be9e-7747-88bc-9e79b0a37c85.jpg,Student and staff ID required,TRUE,TRUE,150,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
49,Level 11 - Library,Glasgow University Library,11,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://disabledgoimageslive.blob.core.windows.net/access-guides/a720a48b-be1d-3448-b79c-01a574e60c79/db54e13c-8c47-b44b-a7a1-7cdb22bf8620.jpg,Student and staff ID required,TRUE,TRUE,80,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
50,Adam Smith Business School Library,Gilbert Scott Building,5,ChIJs2n0CtJFiEgRkviiY_xOGLs,https://universityofglasgowlibrary.files.wordpress.com/2016/02/15-027-adam-smith-library-010.jpg?w=300&h=200,Business School students only,TRUE,TRUE,23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
51,Study Room,Gilbert Scott Building,5,ChIJs2n0CtJFiEgRkviiY_xOGLs,https://www.gla.ac.uk/media/Media_683576_smxx-599x449.jpg,Business School students only,TRUE,TRUE,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
52,MVLS Libraries,Graham Kerr Building,3,ChIJ9UILxdFFiEgRcczDSTMY9Lc,https://disabledgoimageslive.blob.core.windows.net/access-guides/bdc81d97-344b-d244-89b7-232c207176e7/562080ec-d72f-9f44-b2fd-209a6fe18404.jpg,Life Science School students only,TRUE,TRUE,93,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
53,Arts Libraries,Oakfield Avenue,2,ChIJA9ucaM1FiEgRHM46OGHAAFc,https://www.gla.ac.uk/media/Media_474468_smxx-656x491.jpg,Arts Students only,TRUE,TRUE,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
54,Arts Libraries,University Gardens,2,ChIJo2UV_c1FiEgRuZSLhmUcENM,https://www.gla.ac.uk/media/Media_461609_smxx-656x491.jpg,Arts Students only,TRUE,TRUE,72,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
55,Arts Libraries,Gregory Building,1,ChIJF4LEQ85FiEgRpwB6A_HsVac,https://www.gla.ac.uk/media/Media_461376_smxx-640x420.jpg,Archaeology Students only,TRUE,TRUE,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
56,Arts Libraries,Hetherington Building,1,ChIJjVaouM1FiEgR_QmN8kKGNVI,https://www.gla.ac.uk/media/Media_334694_smxx.jpg,Modern Languages & Cultures students,TRUE,TRUE,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57,Arts Libraries,Sir Alexander Stone Building,5,ChIJHS6QC85FiEgRg4kfcZYiD1g,https://www.gla.ac.uk/media/Media_124528_smxx-656x491.jpg,?Postgraduate Arts students only,TRUE,TRUE,76,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58,Social Sciences Postgraduate Study Space,Adam Smith Building,4,ChIJ-eWF3c1FiEgRkezEd5t9xkc,https://www.gla.ac.uk/media/Media_527252_smxx-593x444.jpg,?Postgraduates in Law & Education and Social & Political Sciences student only,TRUE,TRUE,90,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
59,Undergraduate Medical Study Space,Wolfson Medical School Building,4,ChIJP3FvMM5FiEgR5bDCsb73UhY,https://www.gla.ac.uk/media/Media_619722_smxx-640x420.JPG,Media School students only,TRUE,TRUE,362,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
60,Geographical & Earth Sciences Postgraduate Study Spaces,Gregory Building,4,ChIJF4LEQ85FiEgRpwB6A_HsVac,https://www.gla.ac.uk/media/Media_618031_smxx-640x420.jpg,?Geographical & Earth Sciences Postgraduates,TRUE,TRUE,29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
61,Geographical & Earth Sciences Postgraduate Study Spaces,Main Building - East Quadrangle,3,ChIJPXM_aNJFiEgRzS98eMjgbvs,https://www.gla.ac.uk/media/Media_461438_smxx-640x420.jpg,?Geographical & Earth Sciences Postgraduates,TRUE,TRUE,29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
62,Postgraduate Education Study Space,St Andrews Building,6,ChIJD0Stdi1EiEgRsn0lWEAV7z8,https://www.gla.ac.uk/media/Media_461576_smxx-615x346.jpg,?Education Postgraduates student only,TRUE,TRUE,22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
63,Postgraduate Law Study Space,The Square / Stair Building,1,ChIJBSLFANJFiEgRFBsFi3z7Ju8,https://www.gla.ac.uk/media/Media_461588_smxx-575x325.jpg,?Law Postgraduates students only,TRUE,TRUE,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
64,Law Workshop /Library,The Square / Stair Building,3,ChIJBSLFANJFiEgRFBsFi3z7Ju8,https://www.gla.ac.uk/media/Media_334738_smxx.jpg,?Law School students only,TRUE,TRUE,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
